TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
HNX-IDX,20121108,51.58,51.67,50.74,51.08,21169900
HNX-IDX,20121109,51.08,51.68,51.05,51.58,23047800
HNX-IDX,20121112,51.6,52.52,51.53,52.52,41492100
HNX-IDX,20121113,52.52,52.81,52.17,52.39,34279800
HNX-IDX,20121114,52.38,52.73,52.06,52.3,18352600
HNX-IDX,20121115,52.26,52.33,51.45,51.69,26206300
HNX-IDX,20121116,51.61,51.85,51.27,51.81,19097500
HNX-IDX,20121119,51.82,51.82,51.13,51.45,21401300
HNX-IDX,20121120,51.45,51.92,51.27,51.9,20779100
HNX-IDX,20121121,51.89,51.9,51.26,51.41,14543200
HNX-IDX,20121122,51.41,51.64,51.35,51.58,16034200
HNX-IDX,20121123,51.58,51.68,51.1,51.23,17152600
HNX-IDX,20121126,51.22,51.52,50.89,50.96,15914000
HNX-IDX,20121127,50.95,51.15,50.74,50.96,12127400
HNX-IDX,20121128,50.96,51.07,50.56,51,10515500
HNX-IDX,20121129,51,51.21,50.85,51.1,12093900
HNX-IDX,20121130,51.1,51.2,50.78,51.05,12897000
HNX-IDX,20121203,51.05,51.12,50.59,51.04,12309700
HNX-IDX,20121204,51.04,51.49,50.97,51.49,23342400
HNX-IDX,20121205,51.49,52.1,51.49,52.1,38251100
HNX-IDX,20121206,52.09,52.11,51.57,51.78,22605600
HNX-IDX,20121207,51.78,52.02,51.43,51.66,26426600
HNX-IDX,20121210,51.66,52.79,51.6,52.71,42453300
HNX-IDX,20121211,52.68,52.91,52.29,52.72,48116200
HNX-IDX,20121212,52.69,53.88,52.39,53.86,54329200
HNX-IDX,20121213,53.86,54.31,53.49,54.08,59510000
HNX-IDX,20121214,54.08,54.65,53.97,54.44,39130700
HNX-IDX,20121217,54.43,54.54,53.74,54.47,62013800
HNX-IDX,20121218,54.47,54.85,53.7,53.96,47991500
HNX-IDX,20121219,53.96,55,53.96,54.93,57970100
HNX-IDX,20121220,54.93,55.27,54.23,54.32,68932400
HNX-IDX,20121221,54.32,54.4,53.76,54.05,48691400
HNX-IDX,20121224,54.05,55,54.05,55,48117100
HNX-IDX,20121225,55,55.41,54.63,55.04,49405000
HNX-IDX,20121226,55.04,55.96,54.81,55.92,57096500
HNX-IDX,20121227,55.93,56.48,55.76,56.15,86915100
HNX-IDX,20121228,56.16,57.15,55.85,57.09,70375800
HNX-IDX,20130102,57.09,59.16,57.09,59.11,82822400
HNX-IDX,20130103,59.12,59.74,57.48,58.09,128429100
HNX-IDX,20130104,58.09,59.34,57.66,59.21,87213100
HNX-IDX,20130107,59.21,60.42,58.82,59,81078100
HNX-IDX,20130108,59.01,60.29,58.6,59.95,94415500
HNX-IDX,20130109,60.17,61.49,59.23,59.61,136685300
